"店铺","账号","视频标题","视频链接","发布时间","时长秒","播放量","点赞数","评论数","分享数","收藏数","互动率"
"ETCYY-US","etcyy.style","#sohochic#tiktok#tiktokshop#ootd","https://www.tiktok.com/@MS4wLjABAAAAQ3FFLKyG0bIqEGSl9sECwwUSBa9ardtZjxuurrr8cU1J7aq2bG_vJhHFQ5YOavmm/video/7681204449443974413","2026-09-03T23:47:00+08:00","15","45","0","0","0","0","0"
"ETCYY-US","etcyy.outfits","#ootd #tiktokshop #boutiquefashion #chicstyle","https://www.tiktok.com/@MS4wLjABAAAAoQFJPQPYC22qIvVGvvvRC0g_My8pz54doaZlHyyB-tRzCgol_WB2xUmnrUdaPRmI/video/7681968268608900366","2026-09-05T18:11:00+08:00","15","45","0","0","0","0","0"
"ETCYY-US","etcyyus","this top is single-handedly saving all my casual outfits 🧢💫#shirts #c...","https://www.tiktok.com/@MS4wLjABAAAAyS0K7XiI6U2qU30yfAAxxzCeJhmkiy9nNrpamMAoKTZA6z_yoqAbUo4uI9Zh9AzN/video/7677917990091853086","2026-08-25T18:44:01+08:00","12","44","0","0","0","0","0"
"ETCYY-US","etcyy.trends","#TwoInOneSweaterShirt #WomensOfficeWear #TrendyLayeredTop #StripedKni...","https://www.tiktok.com/@MS4wLjABAAAAxjZhhWuHncPj_vKg81t30P0KBSD0vIEjkmVaF2TqCud5QgyDrA1hvlysd3ksAMex/video/7679395322996526349","2026-08-29T19:45:00+08:00","15","44","0","0","0","0","0"
"ETCYY-US","etcyy.clothing","puff sleeve striped shirt#shirts #ootd #DealsForYouDays #tiktokshopho...","https://www.tiktok.com/@MS4wLjABAAAAyrl-2vBe_tJH8pTVAnpx0Og_G2XcHCcoICR6Y3ZzRf5A2poh7m03SlFMo4Wr48q9/video/7681224147384519950","2026-09-03T16:33:00+08:00","15","42","0","0","0","0","0"
"ETCYY-US","etcyy.mode","#tiktok #tiktokshop #ootd ","https://www.tiktok.com/@MS4wLjABAAAAAzWwlO1snm3knv0nLXURI_21KQG9TG5Rl0IsUoNTIiH1nJlP5ORdCNRtOnNp_FBF/video/7678233713695558925","2026-08-26T16:38:00+08:00","15","42","0","0","0","0","0"
"ETCYY-US","etcyy.wear","#sohochic#tiktok#tiktokshop#ootd","https://www.tiktok.com/@MS4wLjABAAAASYmu1XGMcfs93-fOI77Urb73o1YDOmpOcA7fNZSv0jajFPiuSKiyyFHWc3bWvP-g/video/7681204014691798286","2026-09-03T22:43:00+08:00","15","42","0","0","0","0","0"
"ETCYY-US","etcyy.lookbook","#ootd #tiktokshop #denimfashion #streetwearstyle","https://www.tiktok.com/@MS4wLjABAAAAB7ADPXI4N-HH1kKQPqRQpjW4QtjQqIyrM58InkyoFYDSQvaMkewMEw7yVlkLy41g/video/7682721281741049118","2026-09-07T19:53:00+08:00","15","41","0","0","0","0","0"
"ETCYY-US","etcyyfashion.us","#RelaxedFitBlouse#BlueWhiteStripeTop#ChicOfficeBlouse #LayeredFashionTop","https://www.tiktok.com/@MS4wLjABAAAAp926TyS2DAQENQPGFLeFUMmbKXdhwNitFIkicm5Aw5Ep27vC7G5qDsoD_An3R6JY/video/7679397847380282637","2026-08-29T20:59:00+08:00","15","41","0","0","0","0","0"
"ETCYY-US","etcyywears","#StripedLayeredBlouse #WomensKnitShirt #SmartCasualOutfit #NavyWorkT","https://www.tiktok.com/@MS4wLjABAAAAZ79LMZFS-icRZjdE7C2BragqlZXfRKdeJ1H08NhO17EzAka-g_0oBEmtg9Z4nERS/video/7679393605613604127","2026-08-29T20:40:00+08:00","15","41","0","0","0","0","0"
"ETCYY-US","etcyyus","cowgirl#shirts #cowgirl #ootd #DealsForYouDays","https://www.tiktok.com/@MS4wLjABAAAAyS0K7XiI6U2qU30yfAAxxzCeJhmkiy9nNrpamMAoKTZA6z_yoqAbUo4uI9Zh9AzN/video/7677126583592701214","2026-08-23T15:32:49+08:00","13","40","0","0","0","0","0"
"ETCYY-US","etcyy.daily","#LayeredLookShirt #WomensFashionTop #StripedPatchworkBlouse #OutfitIn...","https://www.tiktok.com/@MS4wLjABAAAAIn9Zn1XR3yoPHf7kI7b0dNMyczGiKiCXWt5uQC6k58sBwWdTeJeAX0uzcfrXFpcE/video/7679399226358451487","2026-08-29T21:01:00+08:00","15","40","0","0","0","0","0"
"ETCYY-US","etcyyfashion.us","#ootd #tiktokshop #womensfashion #summeroutfit","https://www.tiktok.com/@MS4wLjABAAAAp926TyS2DAQENQPGFLeFUMmbKXdhwNitFIkicm5Aw5Ep27vC7G5qDsoD_An3R6JY/video/7681614418798742797","2026-09-04T20:18:00+08:00","15","40","0","0","0","0","0"
"ETCYY","etcyy.girl","layered denim-trimmed knit top#Pullover #comfyoutfit #Y2K #tiktokshop...","https://www.tiktok.com/@MS4wLjABAAAAED6sbt0gYEWU6akMi_DNMrZdwnMl5vHKWozKnOQrev5G2fpWaWyKhzy9WYwG3Yi2/video/7680870841050991885","2026-09-02T17:41:55+08:00","14","40","0","0","0","0","0"
"ETCYY-US","etcyy.vibes","#tiktok #tiktokshop #tood ","https://www.tiktok.com/@MS4wLjABAAAAXhiLJGfuFXjsz8jJC7Xaebg4LFMP8HA-uFYWXldxI_udMGjoWd4xhdhbupkeG_5d/video/7678229970652531999","2026-08-26T16:23:00+08:00","15","39","0","0","0","0","0"
"ETCYY-US","etcyywears","#sohochic#tiktok#tiktokshop#ootd","https://www.tiktok.com/@MS4wLjABAAAAZ79LMZFS-icRZjdE7C2BragqlZXfRKdeJ1H08NhO17EzAka-g_0oBEmtg9Z4nERS/video/7680891546094275871","2026-09-02T21:32:00+08:00","15","39","0","0","0","0","0"
"ETCYY-US","etcyytrend","#ContrastPanelSweater #RibbedKnitTop #LongSleeveWorkShirt #DesignerLa...","https://www.tiktok.com/@MS4wLjABAAAAprkcshaplh4GRVEjch2qyGQkMpJTwvj34syE0hr48OH6OQLpdV0X2lEQ0RGaSSJI/video/7679033198088686861","2026-08-28T18:51:37+08:00","15","39","0","0","0","0","0"
